Category,Fund 10,Percent of 10,Fund 21,Percent of 21,Fund 31,Percent of 31,Fund 32,Percent of 32,Fund 49,Percent of 49,All Funds,Percent of All Funds
Local,20944595,22%,2000000,100%,7701321,100%,6291476,100%,582000,7%,37519392,32%
State,58929240,62%,0,0%,0,0%,0,0%,1000000,12%,59929240,50%
Federal,15000000,16%,0,0%,0,0%,0,0%,6490000,80%,21490000,18%
Total Revenue,94873835,100%,2000000,100%,7701321,100%,6291476,100%,8072000,100%,118938632,100%
Salaries,53500000,56%,0,0%,0,0%,0,0%,2359000,28%,55859000,40%
Employee Benefits,26000000,27%,0,0%,0,0%,0,0%,1008317,12%,27008317,19%
Purchased Prof./Tech Services,3600000,4%,0,0%,0,0%,1098348,4%,22100,0%,4720448,3%
Purchased Property Services,1000000,1%,0,0%,0,0%,21623757,78%,42000,0%,22665757,16%
Other Purchased Services,3000000,3%,0,0%,0,0%,1100,0%,43525,1%,3044625,2%
Supplies,7100000,7%,2000000,100%,0,0%,405925,1%,4491800,53%,13997725,10%
Property / Equipment,91000,0%,0,0%,0,0%,2608450,9%,30000,0%,2729450,2%
Debt Service & Misc.,570000,1%,0,0%,7812094,100%,1825700,7%,480243,6%,10688037,8%
Total Expenditures,94861000,100%,2000000,100%,7812094,100%,27563280,100%,8476985,100%,140713359,100%
